,UserID,Rew_Subgroup,Category,Phase,Reward_Category,CR,DP,MA,RT,RB,HR,FA
0,60e4504b1d6e5b99b9a40394,Reward_Animals,Animal,Ph1,High Reward,0.75,3.582286824329569,0.9666666666666667,419.4103448283056,0.7000659716516698,0.7666666666666667,0.016666666666666666
1,60e4504b1d6e5b99b9a40394,Reward_Animals,Object,Ph1,Low Reward,0.7833333333333333,3.7088273499874593,0.9,427.803703704366,0.6432120003060349,0.8,0.016666666666666666
2,60e4504b1d6e5b99b9a40394,Reward_Animals,Animal,Ph2,High Reward,0.519047619047619,2.898663308097323,0.9666666666666667,413.8862068956268,1.0192014415546107,0.5357142857142857,0.016666666666666666
3,60e4504b1d6e5b99b9a40394,Reward_Animals,Object,Ph2,Low Reward,0.43160919540229886,2.672815728792126,0.9333333333333333,382.7000000008515,1.129031908746034,0.4482758620689655,0.016666666666666666
0,63cee1e5dd458e6225157c7e,Reward_Animals,Animal,Ph1,High Reward,0.1457627118644068,0.9885953107403865,0.7333333333333333,457.10454544695943,0.4572809476685571,0.4,0.2542372881355932
1,63cee1e5dd458e6225157c7e,Reward_Animals,Object,Ph1,Low Reward,0.2005747126436782,1.1319380142253463,0.9,471.84814814284994,0.21690461866831312,0.5172413793103449,0.31666666666666665
2,63cee1e5dd458e6225157c7e,Reward_Animals,Animal,Ph2,High Reward,0.2790960451977401,1.392184333016698,1.0,424.3699999988079,0.28878152914709265,0.5333333333333333,0.2542372881355932
3,63cee1e5dd458e6225157c7e,Reward_Animals,Object,Ph2,Low Reward,0.25,1.2796373286645504,0.9666666666666667,435.81724137478864,0.15457321185066905,0.5666666666666667,0.31666666666666665
0,62ed81d3b261e3429e00d548,Reward_Objects,Object,Ph1,High Reward,0.33333333333333337,1.781904593786556,0.8666666666666667,469.7692307692341,0.7247227851663529,0.43333333333333335,0.1
1,62ed81d3b261e3429e00d548,Reward_Objects,Animal,Ph1,Low Reward,0.45000000000000007,1.8970835475933145,0.7666666666666667,469.49999999998766,-0.22815038358267328,0.8,0.35
2,62ed81d3b261e3429e00d548,Reward_Objects,Object,Ph2,High Reward,0.6,2.4782069617971034,0.9333333333333333,434.9655172413753,0.37857552641827985,0.7,0.1
3,62ed81d3b261e3429e00d548,Reward_Objects,Animal,Ph2,Low Reward,0.3833333333333333,1.6733428436695894,1.0,434.2999999999922,-0.11880262840125996,0.7333333333333333,0.35
0,60eed08c1ad192ce66a0c85a,Reward_Objects,Object,Ph1,High Reward,0.27068965517241383,1.333872402877546,0.9,436.153571422611,0.03901394760320598,0.6206896551724138,0.35
1,60eed08c1ad192ce66a0c85a,Reward_Objects,Animal,Ph1,Low Reward,0.5833333333333334,2.3134271054551028,0.9666666666666667,458.77586206279955,-0.14646590795280967,0.8333333333333334,0.25
2,60eed08c1ad192ce66a0c85a,Reward_Objects,Object,Ph2,High Reward,0.5166666666666667,2.1674583050410754,1.0,400.8433333277702,-0.3627255751146088,0.8666666666666667,0.35
