,UserID,Rew_Subgroup,Category,Phase,Reward_Category,CR,DP,MA,RT,RB,HR,FA
4,5c0fbbd0818591000150daa1,Reward_Objects,Object,Ph3,High Reward,0.5444444444444444,2.519177159445049,0.5,1013.625000089407,0.6699358574436255,0.6,0.05555555555555555
5,5c0fbbd0818591000150daa1,Reward_Objects,Animal,Ph3,Low Reward,0.8571428571428572,4.1929570653344514,0.625,1073.3187499940395,-0.6293886750813497,1.0,0.14285714285714285
0,601318f9e356fc15bb3882b9,Reward_Animals,Animal,Ph1,High Reward,0.7303030303030303,2.888174561596012,0.6875,1391.3875000029802,-0.00698402727163594,0.8666666666666667,0.13636363636363635
1,601318f9e356fc15bb3882b9,Reward_Animals,Object,Ph1,Low Reward,0.7273936170212766,2.941266003995818,0.4375,1390.7625000104308,0.24218695689197794,0.8125,0.0851063829787234
2,601318f9e356fc15bb3882b9,Reward_Animals,Animal,Ph2,High Reward,0.5303030303030303,2.1989194457248735,0.6875,1605.4249999895692,0.33303813139902805,0.6666666666666666,0.13636363636363635
3,601318f9e356fc15bb3882b9,Reward_Animals,Object,Ph2,Low Reward,0.7273936170212766,2.941266003995818,0.8125,1616.2937500104308,0.24218695689197794,0.8125,0.0851063829787234
4,601318f9e356fc15bb3882b9,Reward_Animals,Animal,Ph3,High Reward,0.796969696969697,3.3005005757073294,0.6875,1225.6375000178814,-0.2021411919752557,0.9333333333333333,0.13636363636363635
5,601318f9e356fc15bb3882b9,Reward_Animals,Object,Ph3,Low Reward,0.7148936170212766,2.893947079586704,0.6875,1195.8125000149012,0.2649496196149588,0.8,0.0851063829787234
0,60bd6967c850b4089ad7d11e,Reward_Animals,Animal,Ph1,High Reward,0.6666666666666666,3.4734243892848595,0.5,2629.7687499999593,0.9478102873726917,0.6666666666666666,0.0
1,60bd6967c850b4089ad7d11e,Reward_Animals,Object,Ph1,Low Reward,0.5384615384615384,3.1136755155648204,0.6875,2443.279999999997,1.1148946293756008,0.5384615384615384,0.0
2,60bd6967c850b4089ad7d11e,Reward_Animals,Animal,Ph2,High Reward,0.9090909090909091,4.50667197871602,0.5625,2448.966666666682,0.4955850689609522,0.9090909090909091,0.0
3,60bd6967c850b4089ad7d11e,Reward_Animals,Object,Ph2,Low Reward,0.8,3.932868862511561,0.625,2514.531249999971,0.7423633202339632,0.8,0.0
4,60bd6967c850b4089ad7d11e,Reward_Animals,Animal,Ph3,High Reward,0.8571428571428571,4.1929570653344514,0.5,2495.056250000038,0.6293886750813498,0.8571428571428571,0.0
5,60bd6967c850b4089ad7d11e,Reward_Animals,Object,Ph3,Low Reward,0.7333333333333333,3.6860273938111656,0.5625,2145.9375000000146,0.8517110754153765,0.7333333333333333,0.0
0,5e3e14086704e80977b7d715,Reward_Animals,Animal,Ph1,High Reward,0.5363636363636364,2.3018017074481723,0.5625,1763.2000000000116,0.4663979350137778,0.6363636363636364,0.1
1,5e3e14086704e80977b7d715,Reward_Animals,Object,Ph1,Low Reward,0.7412587412587412,3.020568224481199,0.5,1735.5562500000015,0.25880950186773105,0.8181818181818182,0.07692307692307693
2,5e3e14086704e80977b7d715,Reward_Animals,Animal,Ph2,High Reward,0.6272727272727273,2.559180285628632,0.1875,2331.243749999965,0.3384831094806816,0.7272727272727273,0.1
3,5e3e14086704e80977b7d715,Reward_Animals,Object,Ph2,Low Reward,0.8564102564102565,3.6613586351572796,0.5,2321.887500000026,-0.037504536885588746,0.9333333333333333,0.07692307692307693
4,5e3e14086704e80977b7d715,Reward_Animals,Animal,Ph3,High Reward,0.5666666666666667,2.383996840120534,0.5625,1545.1937499999767,0.4254121331245715,0.6666666666666666,0.1
5,5e3e14086704e80977b7d715,Reward_Animals,Object,Ph3,Low Reward,0.6373626373626373,2.666699629636963,0.5625,1684.5187500000175,0.43006402516999215,0.7142857142857143,0.07692307692307693
0,607071f1035f1d4ecb830e21,Reward_Animals,Animal,Ph1,High Reward,0.8888888888888888,4.371725401758654,0.75,2345.7500000000045,0.5528537625967456,0.8888888888888888,0.0
1,607071f1035f1d4ecb830e21,Reward_Animals,Object,Ph1,Low Reward,0.8181818181818182,4.0092961065461665,0.6875,2380.9333333333293,0.7089450027517277,0.8181818181818182,0.0
2,607071f1035f1d4ecb830e21,Reward_Animals,Animal,Ph2,High Reward,0.7777777777777778,3.84548137033159,0.3125,2424.7999999999925,0.7808191001272269,0.7777777777777778,0.0
3,607071f1035f1d4ecb830e21,Reward_Animals,Object,Ph2,Low Reward,0.8181818181818182,4.0092961065461665,0.8125,2876.5000000000036,0.7089450027517277,0.8181818181818182,0.0
4,607071f1035f1d4ecb830e21,Reward_Animals,Animal,Ph3,High Reward,0.3,2.4741715439898897,0.4375,1654.8125000000073,1.4253741933744408,0.3,0.0
5,607071f1035f1d4ecb830e21,Reward_Animals,Object,Ph3,Low Reward,0.7142857142857143,3.6225692363385744,0.75,1633.5,0.8801995260539888,0.7142857142857143,0.0
0,60b7a7f7f76266aaddb936e6,Reward_Animals,Animal,Ph1,High Reward,0.6666666666666666,3.4734243892848595,0.75,1262.3018750164192,0.9478102873726917,0.6666666666666666,0.0
1,60b7a7f7f76266aaddb936e6,Reward_Animals,Object,Ph1,Low Reward,0.7267441860465116,3.3732816468512272,0.5625,1696.0062500147615,0.6581153556929753,0.75,0.023255813953488372
2,60b7a7f7f76266aaddb936e6,Reward_Animals,Animal,Ph2,High Reward,0.6,3.2809176185115065,0.875,2009.5812500221655,1.0365003854525205,0.6,0.0
3,60b7a7f7f76266aaddb936e6,Reward_Animals,Object,Ph2,Low Reward,0.548172757475083,2.8500402208882925,0.5625,2194.4300000031944,0.9053540458946637,0.5714285714285714,0.023255813953488372
4,60b7a7f7f76266aaddb936e6,Reward_Animals,Animal,Ph3,High Reward,0.6666666666666666,3.4734243892848595,0.6875,1411.5706250304356,0.9478102873726917,0.6666666666666666,0.0
5,60b7a7f7f76266aaddb936e6,Reward_Animals,Object,Ph3,Low Reward,0.7267441860465116,3.3732816468512272,0.5625,1570.1906249887543,0.6581153556929753,0.75,0.023255813953488372
0,5daed2e5d87677001be504fa,Reward_Animals,Animal,Ph1,High Reward,0.3125,2.510096482970311,0.375,2135.137499999255,1.4075621425777551,0.3125,0.0
1,5daed2e5d87677001be504fa,Reward_Animals,Object,Ph1,Low Reward,0.4375,2.848288061134361,0.6875,2238.3437499962747,1.2418292793255057,0.4375,0.0
2,5daed2e5d87677001be504fa,Reward_Animals,Animal,Ph2,High Reward,0.3076923076923077,2.496348096314526,0.5625,2086.0750000067055,1.414375048707098,0.3076923076923077,0.0
3,5daed2e5d87677001be504fa,Reward_Animals,Object,Ph2,Low Reward,0.3076923076923077,2.496348096314526,0.625,2316.737500000745,1.414375048707098,0.3076923076923077,0.0
4,5daed2e5d87677001be504fa,Reward_Animals,Animal,Ph3,High Reward,0.6666666666666666,3.4734243892848595,0.4375,2114.9562499970198,0.9478102873726917,0.6666666666666666,0.0
5,5daed2e5d87677001be504fa,Reward_Animals,Object,Ph3,Low Reward,0.5333333333333333,3.1000262609131597,0.5625,2051.768750000745,1.1213480700668559,0.5333333333333333,0.0
0,5cf9371dde24a30019a3260b,Reward_Objects,Object,Ph1,High Reward,1.0,5.700868247916701,0.5625,2553.0,-0.0,1.0,0.0
1,5cf9371dde24a30019a3260b,Reward_Objects,Animal,Ph1,Low Reward,0.8125,3.9848786690338596,0.4375,2397.0625,0.7196006575109823,0.8125,0.0
2,5cf9371dde24a30019a3260b,Reward_Objects,Object,Ph2,High Reward,0.75,3.743765941740147,0.625,2329.9375,0.8259290619223796,0.75,0.0
3,5cf9371dde24a30019a3260b,Reward_Objects,Animal,Ph2,Low Reward,0.5,3.011983222826613,0.6875,2060.4375,1.1631739370204204,0.5,0.0
4,5cf9371dde24a30019a3260b,Reward_Objects,Object,Ph3,High Reward,1.0,5.700868247916701,0.3125,2628.75,-0.0,1.0,0.0
5,5cf9371dde24a30019a3260b,Reward_Objects,Animal,Ph3,Low Reward,1.0,5.700868247916701,0.625,2267.5,-0.0,1.0,0.0
0,5fb3e1ecadba8802c0d12fe6,Reward_Objects,Object,Ph1,High Reward,0.6205128205128205,2.430882886779388,0.3125,1276.0800000001987,0.037849976023156984,0.8,0.1794871794871795
1,5fb3e1ecadba8802c0d12fe6,Reward_Objects,Animal,Ph1,Low Reward,0.3176470588235294,1.4782976499177178,0.8125,1180.0625,-0.11254680112118678,0.7,0.38235294117647056
2,5fb3e1ecadba8802c0d12fe6,Reward_Objects,Object,Ph2,High Reward,0.7538461538461538,3.1089153676780485,0.4375,1522.543750000419,-0.2918823802123983,0.9333333333333333,0.1794871794871795
3,5fb3e1ecadba8802c0d12fe6,Reward_Objects,Animal,Ph2,Low Reward,0.03431372549019612,0.4439839822413265,0.5625,1192.0124999997206,0.25486765235679587,0.4166666666666667,0.38235294117647056
4,5fb3e1ecadba8802c0d12fe6,Reward_Objects,Object,Ph3,High Reward,0.5705128205128205,2.263252090095058,0.375,926.3999999999069,0.12141571771157328,0.75,0.1794871794871795
5,5fb3e1ecadba8802c0d12fe6,Reward_Objects,Animal,Ph3,Low Reward,0.24264705882352944,1.2484428894847712,0.3125,735.7750000001397,-0.009666226749354023,0.625,0.38235294117647056
0,5f08d2dcff327813ff97dc85,Reward_Animals,Animal,Ph1,High Reward,0.17916666666666667,1.864947639266683,0.4375,1926.1642857108798,1.4392276826371513,0.2,0.020833333333333332
1,5f08d2dcff327813ff97dc85,Reward_Animals,Object,Ph1,Low Reward,0.0625,0.7803233337190425,0.5,2168.0,1.018747969697442,0.1875,0.125
2,5f08d2dcff327813ff97dc85,Reward_Animals,Animal,Ph2,High Reward,0.2916666666666667,2.219460519777992,0.375,1734.4625000059605,1.262805271408029,0.3125,0.020833333333333332
3,5f08d2dcff327813ff97dc85,Reward_Animals,Object,Ph2,Low Reward,0.125,1.0766989802413574,0.5625,1830.5875000059605,0.9124195652860447,0.25,0.125
