,UserID,Condition,Value
15,613a3d80394f1c5656a334a5,DP Overall,1.8956432685634717
16,613a3d80394f1c5656a334a5,DP Overall High Reward,2.1517898822334893
17,613a3d80394f1c5656a334a5,DP Overall Low Reward,1.8600419948065032
18,613a3d80394f1c5656a334a5,DP Ph1 High Reward,2.444431240710172
19,613a3d80394f1c5656a334a5,DP Ph1 Low Reward,2.6428610668492025
20,613a3d80394f1c5656a334a5,DP Ph2 High Reward,1.8249259159862008
21,613a3d80394f1c5656a334a5,DP Ph2 Low Reward,1.4302474504186027
22,613a3d80394f1c5656a334a5,PHQ Score,0
23,613a3d80394f1c5656a334a5,PHQ Attention Check,1
24,613a3d80394f1c5656a334a5,Memory Test RT,3264.539779005418
25,613a3d80394f1c5656a334a5,Memory Certainty Count,"      response
0.0         42
12.0        39
60.0        39
72.0        61"
26,613a3d80394f1c5656a334a5,Memory Certainty Correct Count,"      response
0.0         34
12.0        26
60.0        28
72.0        44"
27,613a3d80394f1c5656a334a5,Rewarded Category,Object
28,613a3d80394f1c5656a334a5,End Survey,"{""Q0"":""vey at how much remembered"",""Q1"":""recognised colours mainly"",""Q2"":""4""}"
29,613a3d80394f1c5656a334a5,End Survey2,"{""Q0"":""yes"",""Q1"":""animals""}"
0,61742a9ff08991acec08ae49,Overall PC,0.6747967479674797
1,61742a9ff08991acec08ae49,Age,33
2,61742a9ff08991acec08ae49,Sex,SexFemale
3,61742a9ff08991acec08ae49,Bonus,0
4,61742a9ff08991acec08ae49,Overall Match Accuracy,0.7583333333333333
5,61742a9ff08991acec08ae49,Overall Match RT,438.0989583283663
6,61742a9ff08991acec08ae49,CR Overall,0.281917808219178
7,61742a9ff08991acec08ae49,HR Overall,0.821917808219178
8,61742a9ff08991acec08ae49,FA Overall,0.54
9,61742a9ff08991acec08ae49,CR Overall High Reward,0.3963963963963964
10,61742a9ff08991acec08ae49,CR Overall Low Reward,0.1858974358974359
11,61742a9ff08991acec08ae49,CR Ph1 High Reward,0.46666666666666673
12,61742a9ff08991acec08ae49,CR Ph1 Low Reward,0.1858974358974359
13,61742a9ff08991acec08ae49,CR Ph2 High Reward,0.3137254901960785
14,61742a9ff08991acec08ae49,CR Ph2 Low Reward,0.1858974358974359
15,61742a9ff08991acec08ae49,DP Overall,1.4767396038424934
16,61742a9ff08991acec08ae49,DP Overall High Reward,1.7090296871119728
17,61742a9ff08991acec08ae49,DP Overall Low Reward,1.4175062465009265
18,61742a9ff08991acec08ae49,DP Ph1 High Reward,1.9429380260672788
19,61742a9ff08991acec08ae49,DP Ph1 Low Reward,1.4175062465009265
20,61742a9ff08991acec08ae49,DP Ph2 High Reward,1.4614304179681963
21,61742a9ff08991acec08ae49,DP Ph2 Low Reward,1.4175062465009265
22,61742a9ff08991acec08ae49,PHQ Score,2
23,61742a9ff08991acec08ae49,PHQ Attention Check,1
24,61742a9ff08991acec08ae49,Memory Test RT,2678.0260162601867
25,61742a9ff08991acec08ae49,Memory Certainty Count,"      response
0.0         36
12.0        51
60.0        29
72.0         7"
26,61742a9ff08991acec08ae49,Memory Certainty Correct Count,"      response
0.0         28
12.0        32
60.0        17
72.0         6"
27,61742a9ff08991acec08ae49,Rewarded Category,Object
28,61742a9ff08991acec08ae49,End Survey,"{""Q0"":""not very - expecting "",""Q1"":""just tried to remember exactly what i saw yesterday - animals were easier"",""Q2"":""2""}"
29,61742a9ff08991acec08ae49,End Survey2,"{""Q0"":""yes"",""Q1"":""no""}"
0,616d3d8ea3b54a59c9a25972,Overall PC,0.7278911564625851
1,616d3d8ea3b54a59c9a25972,Age,34
2,616d3d8ea3b54a59c9a25972,Sex,SexMale
3,616d3d8ea3b54a59c9a25972,Bonus,5.25
4,616d3d8ea3b54a59c9a25972,Overall Match Accuracy,0.9166666666666666
5,616d3d8ea3b54a59c9a25972,Overall Match RT,384.66842105291914
6,616d3d8ea3b54a59c9a25972,CR Overall,0.47212931995540686
7,616d3d8ea3b54a59c9a25972,HR Overall,0.6025641025641025
8,616d3d8ea3b54a59c9a25972,FA Overall,0.13043478260869565
9,616d3d8ea3b54a59c9a25972,CR Overall High Reward,0.6187739463601533
10,616d3d8ea3b54a59c9a25972,CR Overall Low Reward,0.35
11,616d3d8ea3b54a59c9a25972,CR Ph1 High Reward,0.746551724137931
12,616d3d8ea3b54a59c9a25972,CR Ph1 Low Reward,0.44999999999999996
13,616d3d8ea3b54a59c9a25972,CR Ph2 High Reward,0.45905172413793105
14,616d3d8ea3b54a59c9a25972,CR Ph2 Low Reward,0.25909090909090915
15,616d3d8ea3b54a59c9a25972,DP Overall,2.055513648698744
16,616d3d8ea3b54a59c9a25972,DP Overall High Reward,2.5242623642222406
