UserID,Category,Phase,Condition,CR,DP,MatchAcc,RT
61742a9ff08991acec08ae49,Object,Ph1,Rew,0.4833333333333333,1.968193658081688,0.7333333333333333,442.2999999995033
61742a9ff08991acec08ae49,Animal,Ph1,Unrew,0.2395480225988701,1.437956657659263,0.8666666666666667,433.0851851745888
61742a9ff08991acec08ae49,Object,Ph2,Rew,0.25,1.3133809198203332,0.7666666666666667,451.21304346685827
61742a9ff08991acec08ae49,Animal,Ph2,Unrew,0.039548022598870025,0.4870339841373787,0.6666666666666666,425.95909091288394
616d3d8ea3b54a59c9a25972,Object,Ph1,Rew,0.45000000000000007,1.8748224997168839,0.9,374.97142856993844
616d3d8ea3b54a59c9a25972,Animal,Ph1,Unrew,0.31666666666666665,1.5627760250256715,0.9333333333333333,377.74827586268555
616d3d8ea3b54a59c9a25972,Object,Ph2,Rew,0.21666666666666667,1.180902004863657,0.9333333333333333,395.05714285799434
616d3d8ea3b54a59c9a25972,Animal,Ph2,Unrew,0.2833333333333333,1.4733014304346508,0.9,390.92068965630284
61689dd9b5677bf2b1eae758,Animal,Ph1,Rew,0.5919540229885057,2.3408724689999456,0.9,396.06428570832526
61689dd9b5677bf2b1eae758,Object,Ph1,Unrew,0.65,2.5510025105394916,0.9333333333333333,399.41379311166963
61689dd9b5677bf2b1eae758,Animal,Ph2,Rew,0.5,2.069372240107848,0.7,442.5458333392938
61689dd9b5677bf2b1eae758,Object,Ph2,Unrew,0.35,1.702533354943902,0.6333333333333333,439.3583333392938
616a1d5d62aca16697a19692,Animal,Ph1,Rew,0.4,1.8040270253722046,0.9,380.98275862068965
616a1d5d62aca16697a19692,Object,Ph1,Unrew,0.6305084745762712,2.469990944969638,0.9,349.4866666669647
616a1d5d62aca16697a19692,Animal,Ph2,Rew,0.4,1.8040270253722046,0.9666666666666667,408.8066666657726
616a1d5d62aca16697a19692,Object,Ph2,Unrew,0.6305084745762712,2.469990944969638,0.7666666666666667,396.64800000041726
60dcdae92191e4a910e4f4f2,Animal,Ph1,Rew,0.5785310734463277,2.3411903688111293,0.9,405.91379310139297
60dcdae92191e4a910e4f4f2,Object,Ph1,Unrew,0.65,2.5510025105394916,0.9333333333333333,384.1620689640785
60dcdae92191e4a910e4f4f2,Animal,Ph2,Rew,0.5049678550555231,2.047236886967904,0.8666666666666667,431.4785714319774
60dcdae92191e4a910e4f4f2,Object,Ph2,Unrew,0.35,1.702533354943902,0.7666666666666667,412.89600000143054
5f4c91ba4739668bccaa0d13,Animal,Ph1,Rew,0.65,2.5510025105394916,0.9666666666666667,423.8
5f4c91ba4739668bccaa0d13,Object,Ph1,Unrew,0.4666666666666667,2.2561714053470747,0.9333333333333333,450.1034482758621
5f4c91ba4739668bccaa0d13,Animal,Ph2,Rew,0.5166666666666666,2.1385007257781896,0.8666666666666667,451.48148148148147
5f4c91ba4739668bccaa0d13,Object,Ph2,Unrew,0.6,2.605470446029933,0.8333333333333334,471.96153846153845
5c6bfbfc4cd4200001687ebc,Animal,Ph1,Rew,0.5457627118644068,2.1742073667509456,0.8666666666666667,425.2592592592474
5c6bfbfc4cd4200001687ebc,Object,Ph1,Unrew,0.6166666666666666,2.4870668715196786,0.8666666666666667,398.96296296297913
5c6bfbfc4cd4200001687ebc,Animal,Ph2,Rew,0.5457627118644068,2.1742073667509456,0.9333333333333333,403.9666666666511
5c6bfbfc4cd4200001687ebc,Object,Ph2,Unrew,0.40057471264367817,1.905280109862576,0.9,414.39285714287377
60116f561c12820548f55e82,Animal,Ph1,Rew,0.5333333333333332,2.135884175169272,0.9333333333333333,433.7499999999995
