,UserID,Rew_Subgroup,Category,Phase,Reward_Category,CR,DP,MA,RT,RB,HR,FA
4,5e03a03e54ff23e8ca6362c1,Reward_Animals,Animal,Ph3,High Reward,0.237012987012987,1.8679338874603078,0.4375,1510.579999991258,1.2036642186612139,0.2727272727272727,0.03571428571428571
5,5e03a03e54ff23e8ca6362c1,Reward_Animals,Object,Ph3,Low Reward,0.19365079365079363,1.8062622752839281,0.375,1380.7562500014901,1.3334630847842013,0.2222222222222222,0.02857142857142857
0,5979e6e2d573480001404613,Reward_Animals,Animal,Ph1,High Reward,0.5428571428571428,2.2227142456046747,0.5,1364.7812500074506,-0.29191598541601904,0.8571428571428571,0.3142857142857143
1,5979e6e2d573480001404613,Reward_Animals,Object,Ph1,Low Reward,0.2593984962406015,2.043129688769964,0.4375,1308.2437500022352,1.251940166392846,0.2857142857142857,0.02631578947368421
2,5979e6e2d573480001404613,Reward_Animals,Animal,Ph2,High Reward,0.24821428571428572,1.2751698458015233,0.4375,2612.106666656335,0.1632139342179662,0.5625,0.3142857142857143
3,5979e6e2d573480001404613,Reward_Animals,Object,Ph2,Low Reward,0.12753036437246965,1.5787626477418064,0.6875,1906.5,1.479003871819515,0.15384615384615385,0.02631578947368421
4,5979e6e2d573480001404613,Reward_Animals,Animal,Ph3,High Reward,0.5428571428571428,2.2227142456046747,0.5625,1398.2999999970198,-0.29191598541601904,0.8571428571428571,0.3142857142857143
5,5979e6e2d573480001404613,Reward_Animals,Object,Ph3,Low Reward,0.3070175438596491,2.1785787395502703,0.5,1496.418749999255,1.184329405074143,0.3333333333333333,0.02631578947368421
0,5ff74e9756bc433d405a5773,Reward_Objects,Object,Ph1,High Reward,-0.010416666666666685,-0.2494888030813379,0.625,992.9125000014901,0.4164886823085915,0.3333333333333333,0.34375
1,5ff74e9756bc433d405a5773,Reward_Objects,Animal,Ph1,Low Reward,0.16666666666666663,1.0317930919866647,0.5,1156.8624999970198,-0.3040261233075849,0.7,0.5333333333333333
2,5ff74e9756bc433d405a5773,Reward_Objects,Object,Ph2,High Reward,-0.010416666666666685,-0.2494888030813379,0.375,1245.0062500163913,0.4164886823085915,0.3333333333333333,0.34375
3,5ff74e9756bc433d405a5773,Reward_Objects,Animal,Ph2,Low Reward,0.18095238095238098,1.084808349422447,0.5,1224.1499999985099,-0.3248002779199961,0.7142857142857143,0.5333333333333333
